to,from,value
5675,5675,0
48944,5675,0
50170,5675,0
8475,5675,0
5676,5675,0
8340,5675,0
8435,5675,0
8488,5675,0
48971,5675,0
8474,5675,0
8359,5675,0
8373,5675,0
33176,5675,0
8322,5675,0
8358,5675,0
8411,5675,0
8406,5675,0
8452,5675,0
8460,5675,0
8337,5675,0
8450,5675,0
49003,5675,0
8398,5675,0
8484,5675,0
48948,5675,0
8423,5675,0
48946,5675,0
8476,5675,0
8397,5675,0
8328,5675,0
26518,5675,0
48980,5675,0
48950,5675,0
8371,5675,0
8491,5675,0
48953,5675,0
8356,5675,0
48984,5675,0
8462,5675,0
48954,5675,0
8453,5675,0
8469,5675,0
8385,5675,0
5678,5675,0
8471,5675,0
8405,5675,0
8369,5675,0
8316,5675,0
8312,5675,0
8429,5675,0
5688,5675,0
8454,5675,0
8311,5675,0
8413,5675,0
8360,5675,0
8380,5675,0
48956,5675,0
5696,5675,0
8467,5675,0
8332,5675,0
5683,5675,0
5672,5675,0
8461,5675,0
8355,5675,0
33185,5675,0
48955,5675,0
8392,5675,0
8362,5675,0
8349,5675,0
8478,5675,0
21787,5675,0
8338,5675,0
8326,5675,0
5686,5675,0
33179,5675,0
8459,5675,0
8758,5675,0
8333,5675,0
8361,5675,0
8482,5675,0
8350,5675,0
5689,5675,0
8493,5675,0
8378,5675,0
8396,5675,0
8448,5675,0
8352,5675,0
21803,5675,0
5679,5675,0
5692,5675,0
8426,5675,0
8425,5675,0
5697,5675,0
8346,5675,0
8455,5675,0
8446,5675,0
26521,5675,0
48947,5675,0
21789,5675,0
8486,5675,0
8386,5675,0
5673,5675,0
8470,5675,0
8465,5675,0
5668,5675,0
8473,5675,0
8419,5675,0
8389,5675,0
8310,5675,0
33177,5675,0
8404,5675,0
8468,5675,0
8456,5675,0
8464,5675,0
8327,5675,0
8388,5675,0
8381,5675,0
8319,5675,0
8368,5675,0
8438,5675,0
8403,5675,0
8408,5675,0
8451,5675,0
8324,5675,0
8463,5675,0
48952,5675,0
8479,5675,0
8390,5675,0
8481,5675,0
8325,5675,0
8375,5675,0
8428,5675,0
8440,5675,0
8407,5675,0
8345,5675,0
8366,5675,0
8317,5675,0
8420,5675,0
48943,5675,0
8308,5675,0
33178,5675,0
8424,5675,0
8357,5675,0
8383,5675,0
26522,5675,0
21788,5675,0
8492,5675,0
5681,5675,0
8318,5675,0
8489,5675,0
5685,5675,0
48945,5675,0
8331,5675,0
8343,5675,0
48957,5675,0
8416,5675,0
48982,5675,0
8314,5675,0
8351,5675,0
8431,5675,0
8367,5675,0
8334,5675,0
8437,5675,0
8483,5675,0
8384,5675,0
8363,5675,0
5677,5675,0
8341,5675,0
8472,5675,0
8409,5675,0
8402,5675,0
8414,5675,0
33181,5675,0
8353,5675,0
8347,5675,0
8495,5675,0
8421,5675,0
8442,5675,0
8387,5675,0
8391,5675,0
8433,5675,0
8417,5675,0
8309,5675,0
33180,5675,0
48951,5675,0
5684,5675,0
26524,5675,0
8394,5675,0
8321,5675,0
26526,5675,0
5691,5675,0
5674,5675,0
48965,5675,0
8315,5675,0
62589,5675,0
8339,5675,0
8393,5675,0
8313,5675,0
8382,5675,0
8374,5675,0
5695,5675,0
8447,5675,0
8441,5675,0
8480,5675,0
5687,5675,0
5669,5675,0
8466,5675,0
26582,5675,0
8485,5675,0
8376,5675,0
8379,5675,0
8457,5675,0
8415,5675,0
8487,5675,0
26519,5675,0
8427,5675,0
8364,5675,0
8445,5675,0
8449,5675,0
26517,5675,0
8395,5675,0
8418,5675,0
8432,5675,0
5694,5675,0
8490,5675,0
8444,5675,0
5690,5675,0
8443,5675,0
8348,5675,0
26520,5675,0
5670,5675,0
8430,5675,0
8401,5675,0
8370,5675,0
8477,5675,0
5680,5675,0
8439,5675,0
8400,5675,0
8412,5675,0
8372,5675,0
22756,5675,0
5693,5675,0
62598,5675,0
48997,5675,0
49002,5675,0
8494,5675,0
62596,5675,0
5682,5675,0
49000,5675,0
3293,5675,0
8354,5675,0
21790,5675,0
22491,5675,0
48999,5675,0
48998,5675,0
48985,5675,0
49001,5675,0
21791,5675,0
8365,5675,0
48961,5675,0
48962,5675,0
48964,5675,0
48966,5675,0
48967,5675,0
48968,5675,0
48969,5675,0
48970,5675,0
21792,5675,0
48972,5675,0
48973,5675,0
48974,5675,0
48975,5675,0
21797,5675,0
48976,5675,0
21796,5675,0
48977,5675,0
50167,5675,0
48978,5675,0
8323,5675,0
21798,5675,0
26523,5675,0
offshore,5675,0
5675,48944,0
48944,48944,0
50170,48944,0
8475,48944,0
5676,48944,0
8340,48944,0
8435,48944,0
8488,48944,0
48971,48944,0
8474,48944,0
8359,48944,0
8373,48944,0
33176,48944,0
8322,48944,0
8358,48944,0
8411,48944,0
8406,48944,0
8452,48944,0
8460,48944,0
8337,48944,0
8450,48944,0
49003,48944,0
8398,48944,0
8484,48944,0
48948,48944,0
8423,48944,0
48946,48944,0
8476,48944,0
8397,48944,0
8328,48944,0
26518,48944,0
48980,48944,0
48950,48944,0
8371,48944,0
8491,48944,0
48953,48944,0
8356,48944,0
48984,48944,0
8462,48944,0
48954,48944,0
8453,48944,0
8469,48944,0
8385,48944,0
5678,48944,0
8471,48944,0
8405,48944,0
8369,48944,0
8316,48944,0
8312,48944,0
8429,48944,0
5688,48944,0
8454,48944,0
8311,48944,0
8413,48944,0
8360,48944,0
8380,48944,0
48956,48944,0
5696,48944,0
8467,48944,0
8332,48944,0
5683,48944,0
5672,48944,0
8461,48944,0
8355,48944,0
33185,48944,0
48955,48944,0
8392,48944,0
8362,48944,0
8349,48944,0
8478,48944,0
21787,48944,0
8338,48944,0
8326,48944,0
5686,48944,0
33179,48944,0
8459,48944,0
8758,48944,0
8333,48944,0
8361,48944,0
8482,48944,0
8350,48944,0
5689,48944,0
8493,48944,0
8378,48944,0
8396,48944,0
8448,48944,0
8352,48944,0
21803,48944,0
5679,48944,0
5692,48944,0
8426,48944,0
8425,48944,0
5697,48944,0
8346,48944,0
8455,48944,0
8446,48944,0
26521,48944,0
48947,48944,0
21789,48944,0
8486,48944,0
8386,48944,0
5673,48944,0
8470,48944,0
8465,48944,0
5668,48944,0
8473,48944,0
8419,48944,0
8389,48944,0
8310,48944,0
33177,48944,0
8404,48944,0
8468,48944,0
8456,48944,0
8464,48944,0
8327,48944,0
8388,48944,0
8381,48944,0
8319,48944,0
8368,48944,0
8438,48944,0
8403,48944,0
8408,48944,0
8451,48944,0
8324,48944,0
8463,48944,0
48952,48944,0
8479,48944,0
8390,48944,0
8481,48944,0
8325,48944,0
8375,48944,0
8428,48944,0
8440,48944,0
8407,48944,0
8345,48944,0
8366,48944,0
8317,48944,0
8420,48944,0
48943,48944,0
8308,48944,0
33178,48944,0
8424,48944,0
8357,48944,0
8383,48944,0
26522,48944,0
21788,48944,0
8492,48944,0
5681,48944,0
8318,48944,0
8489,48944,0
5685,48944,0
48945,48944,0
8331,48944,0
8343,48944,0
48957,48944,0
8416,48944,0
48982,48944,0
8314,48944,0
8351,48944,0
8431,48944,0
8367,48944,0
8334,48944,0
8437,48944,0
8483,48944,0
8384,48944,0
8363,48944,0
5677,48944,0
8341,48944,0
8472,48944,0
8409,48944,0
8402,48944,0
8414,48944,0
33181,48944,0
8353,48944,0
8347,48944,0
8495,48944,0
8421,48944,0
8442,48944,0
8387,48944,0
8391,48944,0
8433,48944,0
8417,48944,0
8309,48944,0
33180,48944,0
48951,48944,0
5684,48944,0
26524,48944,0
8394,48944,0
8321,48944,0
26526,48944,0
5691,48944,0
5674,48944,0
48965,48944,0
8315,48944,0
62589,48944,0
8339,48944,0
8393,48944,0
8313,48944,0
8382,48944,0
8374,48944,0
5695,48944,0
8447,48944,0
8441,48944,0
8480,48944,0
5687,48944,0
5669,48944,0
8466,48944,0
26582,48944,0
8485,48944,0
8376,48944,0
8379,48944,0
8457,48944,0
8415,48944,0
8487,48944,0
26519,48944,0
8427,48944,0
8364,48944,0
8445,48944,0
8449,48944,0
26517,48944,0
8395,48944,0
8418,48944,0
8432,48944,0
5694,48944,0
