from,to,value
id_5675,id_5675,0
id_48944,id_5675,0
id_50170,id_5675,0
id_8475,id_5675,0
id_5676,id_5675,0
id_8340,id_5675,0
id_8435,id_5675,0
id_8488,id_5675,0
id_48971,id_5675,0
id_8474,id_5675,0
id_8359,id_5675,0
id_8373,id_5675,0
id_33176,id_5675,0
id_8322,id_5675,0
id_8358,id_5675,0
id_8411,id_5675,0
id_8406,id_5675,0
id_8452,id_5675,0
id_8460,id_5675,0
id_8337,id_5675,0
id_8450,id_5675,0
id_49003,id_5675,0
id_8398,id_5675,0
id_8484,id_5675,0
id_48948,id_5675,0
id_8423,id_5675,0
id_48946,id_5675,0
id_8476,id_5675,0
id_8397,id_5675,0
id_8328,id_5675,0
id_26518,id_5675,0
id_48980,id_5675,0
id_48950,id_5675,0
id_8371,id_5675,0
id_8491,id_5675,0
id_48953,id_5675,0
id_8356,id_5675,0
id_48984,id_5675,0
id_8462,id_5675,0
id_48954,id_5675,0
id_8453,id_5675,0
id_8469,id_5675,0
id_8385,id_5675,0
id_5678,id_5675,0
id_8471,id_5675,0
id_8405,id_5675,0
id_8369,id_5675,0
id_8316,id_5675,0
id_8312,id_5675,0
id_8429,id_5675,0
id_5688,id_5675,0
id_8454,id_5675,0
id_8311,id_5675,0
id_8413,id_5675,0
id_8360,id_5675,0
id_8380,id_5675,0
id_48956,id_5675,0
id_5696,id_5675,0
id_8467,id_5675,0
id_8332,id_5675,0
id_5683,id_5675,0
id_5672,id_5675,0
id_8461,id_5675,0
id_8355,id_5675,0
id_33185,id_5675,0
id_48955,id_5675,0
id_8392,id_5675,0
id_8362,id_5675,0
id_8349,id_5675,0
id_8478,id_5675,0
id_21787,id_5675,0
id_8338,id_5675,0
id_8326,id_5675,0
id_5686,id_5675,0
id_33179,id_5675,0
id_8459,id_5675,0
id_8758,id_5675,0
id_8333,id_5675,0
id_8361,id_5675,0
id_8482,id_5675,0
id_8350,id_5675,0
id_5689,id_5675,0
id_8493,id_5675,0
id_8378,id_5675,0
id_8396,id_5675,0
id_8448,id_5675,0
id_8352,id_5675,0
id_21803,id_5675,0
id_5679,id_5675,0
id_5692,id_5675,0
id_8426,id_5675,0
id_8425,id_5675,0
id_5697,id_5675,0
id_8346,id_5675,0
id_8455,id_5675,0
id_8446,id_5675,0
id_26521,id_5675,0
id_48947,id_5675,0
id_21789,id_5675,0
id_8486,id_5675,0
id_8386,id_5675,0
id_5673,id_5675,0
id_8470,id_5675,0
id_8465,id_5675,0
id_5668,id_5675,0
id_8473,id_5675,0
id_8419,id_5675,0
id_8389,id_5675,0
id_8310,id_5675,0
